title,kicker,link,image,scrape_date,title_word_count,title_char_count,capital_words
"Caesars Virginia sets December 17 for grand opening with Dennis Rodman to attend, several festivities",$750 MILLION RESORT,https://www.yogonet.com/international/news/2024/12/09/88001-caesars-virginia-sets-december-17-for-grand-opening-with-dennis-rodman-to-attend-several-festivities,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/11/08/69826/1731070865-caesars-virginia-danville-render-07.jpg,2024-12-10T10:54:18.560341,15,101,"['Caesars', 'Virginia', 'December', 'Dennis', 'Rodman']"
Alabama Senate leadership change unlikely to increase odds of gambling bill's passage,FACES UPHILL BATTLE IN 2025 SESSION,https://www.yogonet.com/international/news/2024/12/06/87708-alabama-senate-leadership-change-unlikely-to-increase-odds-of-gambling-bill-39s-passage,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/04/02/63050/1712070932-alabama-lawmakers-house.jpg,2024-12-10T10:54:18.560474,12,85,"['Alabama', 'Senate']"
Kentucky: Churchill Downs sets February 12 grand opening date for Owensboro Racing and Gaming,TO HOUSE 600 HHR MACHINES,https://www.yogonet.com/international/news/2024/12/09/87995-kentucky-churchill-downs-sets-february-12-grand-opening-date-for-owensboro-racing-and-gaming,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/02/23/61846/1708695822-churchill-downs-incorporated-plans-owensboro-racing-gaming-02.jpg,2024-12-10T10:54:18.560531,14,93,"['Kentucky:', 'Churchill', 'Downs', 'February', 'Owensboro', 'Racing', 'Gaming']"
American Gaming Association expands Have A Game Plan campaign with new Keep Your Cool pillar,TO PROMOTE RESPONSIBLE SPORTS BETTING,https://www.yogonet.com/international/news/2024/12/09/87695-american-gaming-association-expands-have-a-game-plan-campaign-with-new-keep-your-cool-pillar,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/10/11/58449/1697036737-g2e-2023-bill-miller.jpg,2024-12-10T10:54:18.560564,15,92,"['American', 'Gaming', 'Association', 'Have', 'A', 'Game', 'Plan', 'Keep', 'Your', 'Cool']"
Former MGM chief Jim Murren named chairman of newly formed Resorts World Las Vegas board of directors,"ALEX DIXON TO BE CEO FROM JANUARY 16, 2025",https://www.yogonet.com/international/news/2024/12/06/87703-former-mgm-chief-jim-murren-named-chairman-of-newly-formed-resorts-world-las-vegas-board-of-directors,https://imagenesyogonet.b-cdn.net/data/imagenes/2019/04/29/25143/1625326261-jim-murren-mgm-10.jpg,2024-12-10T10:54:18.560768,17,101,"['Former', 'MGM', 'Jim', 'Murren', 'Resorts', 'World', 'Las', 'Vegas']"
Soft2Bet wins Best iGaming Solutions provider category in Romania,AT REUNION OF GAMBLING PROFESSIONALS,https://www.yogonet.com/international/news/2024/12/09/87998-soft2bet-wins-best-igaming-solutions-provider-category-in-romania,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/06/70732/1733508017-soft2bet-ganador-onjn-romania-reunion-profesionales-juego-rumania.jpg,2024-12-10T10:54:18.560872,9,65,"['Soft2Bet', 'Best', 'Solutions', 'Romania']"
FanDuel Casino sponsors free tolls and rides in New Jersey and Pennsylvania,ON DECEMBER 18,https://www.yogonet.com/international/news/2024/12/09/87718-fanduel-casino-sponsors-free-tolls-and-rides-in-new-jersey-and-pennsylvania,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/06/70730/1733505671-fanduel-casino-sponsors-free-tolls.jpg,2024-12-10T10:54:18.560928,12,75,"['FanDuel', 'Casino', 'New', 'Jersey', 'Pennsylvania']"
FBM Foundation donates ambulance to enhance Leupapo Inc.’s health services in the Phillipines,PARTNERSHIP WITH LORENZO U. LIMKETKAI FOUNDATION,https://www.yogonet.com/international/news/2024/12/06/87722-fbm-foundation-donates-ambulance-to-enhance-leupapo-incs-health-services-in-the-phillipines,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/05/70693/1733419803-fbm-foundation-donacion-ambulancia-leupapo-organizacion-pacientes-padres-leucemia-01.jpg,2024-12-10T10:54:18.561114,13,93,"['FBM', 'Foundation', 'Leupapo', 'Inc.’s', 'Phillipines']"
Five technologies that will transform iGaming in 2025,SLOTEGRATOR ANALYSIS,https://www.yogonet.com/international/news/2024/12/06/87723-five-technologies-that-will-transform-igaming-in-2025,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/06/70727/1733501625-slotegrator-5-technologies-that-will-change-igaming-in-2025.jpg,2024-12-10T10:54:18.561356,8,53,['Five']
SOFTSWISS kicks off Excellence Talks in Poland with F1 legend Rubens Barrichello,TO BE HELD QUARTERLY,https://www.yogonet.com/international/news/2024/12/09/87709-softswiss-kicks-off-excellence-talks-in-poland-with-f1-legend-rubens-barrichello,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/06/70726/1733499450-softswiss-rubens-barrichello-excellence-talks-evento-03.jpg,2024-12-10T10:54:18.562389,12,80,"['SOFTSWISS', 'Excellence', 'Talks', 'Poland', 'F1', 'Rubens', 'Barrichello']"
